FlightDate,Day_Of_Week,Airline,Tail_Number,Cancelled,Diverted,Dep_Airport,Dep_CityName,DepTime_label,Dep_Delay,Dep_Delay_Tag,Dep_Delay_Type,Arr_Airport,Arr_CityName,Arr_Delay,Arr_Delay_Type,Flight_Duration,Distance_type,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft
2023-01-25,3,Endeavor Air,N691CA,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,ITH,"Ithaca/Cortland, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N937XJ,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,PIT,"Pittsburgh, PA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N937XJ,1.0,0.0,PIT,"Pittsburgh, PA",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N926XJ,1.0,0.0,BWI,"Baltimore, MD",Afternoon,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N335PQ,0.0,1.0,BWI,"Baltimore, MD",Afternoon,2.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N926XJ,1.0,0.0,JFK,"New York, NY",Afternoon,0.0,0,No Departure Delay,BWI,"Baltimore, MD",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-18,3,Endeavor Air,N678CA,1.0,0.0,MSP,"Minneapolis, MN",Evening,0.0,0,No Departure Delay,CID,"Cedar Rapids/Iowa City, IA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N183GJ,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,SDF,"Louisville, KY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N330PQ,1.0,0.0,CID,"Cedar Rapids/Iowa City, IA",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-16,1,Endeavor Air,N301PQ,1.0,0.0,BGR,"Bangor, ME",Night,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N303PQ,1.0,0.0,RDU,"Raleigh/Durham, NC",Evening,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N367CA,0.0,1.0,EVV,"Evansville, IN",Morning,-4.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N937XJ,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,CVG,"Cincinnati, OH",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-09,1,Endeavor Air,N482PX,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,CVG,"Cincinnati, OH",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N478PX,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,RDU,"Raleigh/Durham, NC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N932XJ,1.0,0.0,JFK,"New York, NY",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N904XJ,1.0,0.0,RIC,"Richmond, VA",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N8928A,1.0,0.0,DTW,"Detroit, MI",Afternoon,-4.0,0,No Departure Delay,MBS,"Saginaw/Bay City/Midland, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N8928A,1.0,0.0,MBS,"Saginaw/Bay City/Midland, MI",Afternoon,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-22,7,Endeavor Air,N8877A,1.0,0.0,ATL,"Atlanta, GA",Morning,0.0,0,No Departure Delay,MGM,"Montgomery, AL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-30,1,Endeavor Air,N8986B,1.0,0.0,ATL,"Atlanta, GA",Morning,0.0,0,No Departure Delay,MGM,"Montgomery, AL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-22,7,Endeavor Air,N8877A,1.0,0.0,MGM,"Montgomery, AL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-30,1,Endeavor Air,N8986B,1.0,0.0,MGM,"Montgomery, AL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-30,1,Endeavor Air,N479PX,0.0,1.0,LGA,"New York, NY",Morning,-6.0,0,No Departure Delay,PIT,"Pittsburgh, PA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N330PQ,1.0,0.0,MSP,"Minneapolis, MN",Evening,0.0,0,No Departure Delay,CID,"Cedar Rapids/Iowa City, IA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N134EV,1.0,0.0,PIT,"Pittsburgh, PA",Morning,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N926XJ,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,SAV,"Savannah, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N906XJ,1.0,0.0,MOT,"Minot, ND",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N906XJ,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,MOT,"Minot, ND",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N307PQ,1.0,0.0,BNA,"Nashville, TN",Evening,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N933XJ,0.0,1.0,DTW,"Detroit, MI",Morning,-2.0,0,No Departure Delay,PHL,"Philadelphia, PA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-26,4,Endeavor Air,N330PQ,1.0,0.0,OMA,"Omaha, NE",Morning,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N922XJ,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,CVG,"Cincinnati, OH",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-04,3,Endeavor Air,N8903A,1.0,0.0,DTW,"Detroit, MI",Afternoon,12.0,1,No Departure Delay,MQT,"Marquette, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-04,3,Endeavor Air,N8903A,1.0,0.0,MQT,"Marquette, MI",Evening,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N228PQ,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,SCE,"State College, PA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N228PQ,1.0,0.0,SCE,"State College, PA",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N134EV,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,PIT,"Pittsburgh, PA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N800AY,1.0,0.0,ATW,"Appleton, WI",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N914XJ,1.0,0.0,RDU,"Raleigh/Durham, NC",Morning,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-19,4,Endeavor Air,N678CA,1.0,0.0,CID,"Cedar Rapids/Iowa City, IA",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-19,4,Endeavor Air,N8903A,0.0,1.0,ATL,"Atlanta, GA",Morning,-5.0,0,No Departure Delay,ROA,"Roanoke, VA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N8837B,1.0,0.0,CWA,"Mosinee, WI",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N8837B,1.0,0.0,MSP,"Minneapolis, MN",Afternoon,0.0,0,No Departure Delay,CWA,"Mosinee, WI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-06,5,Endeavor Air,N200PQ,0.0,1.0,JFK,"New York, NY",Morning,-9.0,0,No Departure Delay,BNA,"Nashville, TN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N478PX,1.0,0.0,BTV,"Burlington, VT",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N478PX,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,BTV,"Burlington, VT",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N691CA,1.0,0.0,GRR,"Grand Rapids, MI",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N183GJ,1.0,0.0,GRR,"Grand Rapids, MI",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N691CA,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,GRR,"Grand Rapids, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-26,4,Endeavor Air,N906XJ,1.0,0.0,ORF,"Norfolk, VA",Morning,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-26,4,Endeavor Air,N691CA,1.0,0.0,ITH,"Ithaca/Cortland, NY",Night,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-18,3,Endeavor Air,N367CA,0.0,1.0,MSP,"Minneapolis, MN",Afternoon,-1.0,0,No Departure Delay,MDW,"Chicago, IL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N367CA,1.0,0.0,DTW,"Detroit, MI",Afternoon,0.0,0,No Departure Delay,MDW,"Chicago, IL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N367CA,1.0,0.0,MDW,"Chicago, IL",Afternoon,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N176PQ,0.0,1.0,MKE,"Milwaukee, WI",Morning,-5.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N800AY,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,ATW,"Appleton, WI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N915XJ,1.0,0.0,PVD,"Providence, RI",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N298PQ,1.0,0.0,DSM,"Des Moines, IA",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N678CA,1.0,0.0,ITH,"Ithaca/Cortland, NY",Afternoon,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N678CA,1.0,0.0,JFK,"New York, NY",Afternoon,-15.0,0,No Departure Delay,ITH,"Ithaca/Cortland, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-10,2,Endeavor Air,N605LR,1.0,0.0,CWA,"Mosinee, WI",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-10,2,Endeavor Air,N605LR,1.0,0.0,MSP,"Minneapolis, MN",Afternoon,0.0,0,No Departure Delay,CWA,"Mosinee, WI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-09,1,Endeavor Air,N691CA,0.0,1.0,ATL,"Atlanta, GA",Afternoon,-2.0,0,No Departure Delay,HPN,"White Plains, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N135EV,1.0,0.0,GSP,"Greer, SC",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N390CA,1.0,0.0,MDW,"Chicago, IL",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N390CA,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,MDW,"Chicago, IL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N919XJ,1.0,0.0,BGM,"Binghamton, NY",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N485PX,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,BGM,"Binghamton, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N301PQ,0.0,1.0,CHS,"Charleston, SC",Morning,-3.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N391CA,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,DSM,"Des Moines, IA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N925XJ,0.0,1.0,MEM,"Memphis, TN",Morning,-9.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N232PQ,1.0,0.0,RDU,"Raleigh/Durham, NC",Morning,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N184GJ,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,GSO,"Greensboro/High Point, NC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N307PQ,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,BNA,"Nashville, TN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-31,2,Endeavor Air,N319PQ,1.0,0.0,MEM,"Memphis, TN",Evening,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N138EV,1.0,0.0,MSP,"Minneapolis, MN",Evening,0.0,0,No Departure Delay,GRB,"Green Bay, WI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-31,2,Endeavor Air,N319PQ,1.0,0.0,MSP,"Minneapolis, MN",Afternoon,0.0,0,No Departure Delay,MEM,"Memphis, TN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N8837B,1.0,0.0,CWA,"Mosinee, WI",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-09,1,Endeavor Air,N176PQ,1.0,0.0,RDU,"Raleigh/Durham, NC",Morning,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N320PQ,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-15,7,Endeavor Air,N299PQ,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N303PQ,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N914XJ,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-09,1,Endeavor Air,N176PQ,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,RDU,"Raleigh/Durham, NC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-01,7,Endeavor Air,N181GJ,0.0,1.0,ATL,"Atlanta, GA",Morning,-2.0,0,No Departure Delay,BTR,"Baton Rouge, LA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N930XJ,1.0,0.0,ALB,"Albany, NY",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N926XJ,1.0,0.0,ALB,"Albany, NY",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-11,3,Endeavor Air,N930XJ,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,ALB,"Albany, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-30,1,Endeavor Air,N8918B,1.0,0.0,AEX,"Alexandria, LA",Afternoon,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-24,2,Endeavor Air,N602XJ,0.0,1.0,ATL,"Atlanta, GA",Afternoon,-5.0,0,No Departure Delay,AEX,"Alexandria, LA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-29,7,Endeavor Air,N924EV,0.0,1.0,ATL,"Atlanta, GA",Afternoon,-1.0,0,No Departure Delay,AEX,"Alexandria, LA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-30,1,Endeavor Air,N8918B,1.0,0.0,ATL,"Atlanta, GA",Afternoon,0.0,0,No Departure Delay,AEX,"Alexandria, LA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N330PQ,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,ROC,"Rochester, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N303PQ,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,GSP,"Greer, SC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-17,2,Endeavor Air,N329PQ,0.0,1.0,ATL,"Atlanta, GA",Morning,-1.0,0,No Departure Delay,CHO,"Charlottesville, VA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-08,7,Endeavor Air,N298PQ,0.0,1.0,ATL,"Atlanta, GA",Morning,-5.0,0,No Departure Delay,XNA,"Fayetteville, AR",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-15,7,Endeavor Air,N301PQ,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-16,1,Endeavor Air,N183GJ,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N691CA,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-16,1,Endeavor Air,N299PQ,1.0,0.0,BGR,"Bangor, ME",Night,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N138EV,1.0,0.0,GRB,"Green Bay, WI",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N919XJ,1.0,0.0,LGA,"New York, NY",Afternoon,0.0,0,No Departure Delay,PWM,"Portland, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-16,1,Endeavor Air,N183GJ,1.0,0.0,JFK,"New York, NY",Afternoon,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N678CA,1.0,0.0,JFK,"New York, NY",Afternoon,0.0,0,No Departure Delay,BGR,"Bangor, ME",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-12,4,Endeavor Air,N835AY,0.0,1.0,ATL,"Atlanta, GA",Afternoon,7.0,1,No Departure Delay,DHN,"Dothan, AL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N304PQ,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,GRR,"Grand Rapids, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N602LR,1.0,0.0,CVG,"Cincinnati, OH",Afternoon,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N183GJ,1.0,0.0,SDF,"Louisville, KY",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N298PQ,0.0,1.0,SDF,"Louisville, KY",Afternoon,40.0,1,Low Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N910XJ,1.0,0.0,MYR,"Myrtle Beach, SC",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-23,1,Endeavor Air,N490PX,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,MYR,"Myrtle Beach, SC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N138EV,1.0,0.0,LGA,"New York, NY",Evening,0.0,0,No Departure Delay,MYR,"Myrtle Beach, SC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-03,2,Endeavor Air,N320PQ,1.0,0.0,MSP,"Minneapolis, MN",Afternoon,0.0,0,No Departure Delay,JFK,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-01-25,3,Endeavor Air,N901XJ,1.0,0.0,JFK,"New York, NY",Evening,0.0,0,No Departure Delay,BUF,"Buffalo, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
